
                  X               X-Coords           Z-Coords    

                0.                11.7549E-39        -0.         
               59.3778E-03        59.3778E-03        -2.19491E-03
              118.788E-03        118.788E-03         -3.05412E-03
              178.146E-03        178.146E-03         -3.81382E-03
              237.832E-03        237.832E-03         -4.43629E-03
              297.526E-03        297.526E-03         -4.85054E-03
              357.174E-03        357.174E-03         -5.12921E-03
              416.772E-03        416.772E-03         -5.34954E-03
              476.375E-03        476.375E-03         -5.5266E-03 
              535.97E-03         535.97E-03          -5.64883E-03
              595.544E-03        595.544E-03         -5.73042E-03
              655.094E-03        655.094E-03         -5.78789E-03
              714.633E-03        714.633E-03         -5.82808E-03
              774.16E-03         774.16E-03          -5.85128E-03
              833.675E-03        833.675E-03         -5.86287E-03
              893.179E-03        893.179E-03         -5.86671E-03
              952.675E-03        952.675E-03         -5.86573E-03
                1.01216            1.01216           -5.86052E-03
                1.07165            1.07165           -5.85304E-03
                1.13113            1.13113           -5.84409E-03
                1.1906             1.1906            -5.83471E-03
                1.25007            1.25007           -5.825E-03  
                1.30954            1.30954           -5.81553E-03
                1.36901            1.36901           -5.80634E-03
                1.42847            1.42847           -5.7977E-03 
                1.48793            1.48793           -5.78952E-03
                1.5474             1.5474            -5.78187E-03
                1.60686            1.60686           -5.77469E-03
                1.66632            1.66632           -5.76795E-03
                1.72578            1.72578           -5.76158E-03
                1.78525            1.78525           -5.75553E-03
                1.84471            1.84471           -5.74972E-03
                1.90417            1.90417           -5.74411E-03
                1.96363            1.96363           -5.73863E-03
                2.02309            2.02309           -5.73325E-03
                2.08255            2.08255           -5.72791E-03
                2.14201            2.14201           -5.72258E-03
                2.20148            2.20148           -5.71723E-03
                2.26094            2.26094           -5.71184E-03
                2.3204             2.3204            -5.70637E-03
                2.37986            2.37986           -5.70082E-03
                2.43932            2.43932           -5.69516E-03
                2.49879            2.49879           -5.68938E-03
                2.55825            2.55825           -5.68348E-03
                2.61771            2.61771           -5.67744E-03
                2.67717            2.67717           -5.67127E-03
                2.73663            2.73663           -5.66495E-03
                2.79609            2.79609           -5.65849E-03
                2.85556            2.85556           -5.65187E-03
                2.91502            2.91502           -5.64509E-03
                2.97448            2.97448           -5.63817E-03
                3.03394            3.03394           -5.63108E-03
                3.09341            3.09341           -5.62383E-03
                3.15287            3.15287           -5.61643E-03
                3.21233            3.21233           -5.60886E-03
                3.27179            3.27179           -5.60114E-03
                3.33125            3.33125           -5.59325E-03
                3.39072            3.39072           -5.58519E-03
                3.45018            3.45018           -5.57697E-03
                3.50964            3.50964           -5.56859E-03
                3.5691             3.5691            -5.56003E-03
                3.62856            3.62856           -5.55131E-03
                3.68803            3.68803           -5.54243E-03
                3.74749            3.74749           -5.53337E-03
                3.80695            3.80695           -5.52414E-03
                3.86641            3.86641           -5.51474E-03
                3.92587            3.92587           -5.50516E-03
                3.98534            3.98534           -5.49542E-03
                4.0448             4.0448            -5.48549E-03
                4.10426            4.10426           -5.47539E-03
                4.16372            4.16372           -5.46512E-03
                4.22319            4.22319           -5.45466E-03
                4.28265            4.28265           -5.44402E-03
                4.34211            4.34211           -5.4332E-03 
                4.40157            4.40157           -5.4222E-03 
                4.46104            4.46104           -5.41102E-03
                4.5205             4.5205            -5.39965E-03
                4.57996            4.57996           -5.38809E-03
                4.63942            4.63942           -5.37635E-03
                4.69888            4.69888           -5.36441E-03
                4.75835            4.75835           -5.35229E-03
                4.81781            4.81781           -5.33997E-03
                4.87727            4.87727           -5.32746E-03
                4.93673            4.93673           -5.31476E-03
                4.9962             4.9962            -5.30186E-03
                5.05566            5.05566           -5.28876E-03
                5.11512            5.11512           -5.27547E-03
                5.17458            5.17458           -5.26197E-03
                5.23405            5.23405           -5.24827E-03
                5.29351            5.29351           -5.23438E-03
                5.35297            5.35297           -5.22028E-03
                5.41243            5.41243           -5.20597E-03
                5.4719             5.4719            -5.19146E-03
                5.53136            5.53136           -5.17674E-03
                5.59082            5.59082           -5.16181E-03
                5.65028            5.65028           -5.14667E-03
                5.70975            5.70975           -5.13133E-03
                5.76921            5.76921           -5.11577E-03
                5.82867            5.82867           -5.1E-03    
                5.88813            5.88813           -5.08401E-03
                5.9476             5.9476            -5.06781E-03
                6.00706            6.00706           -5.05139E-03
                6.06652            6.06652           -5.03476E-03
