
                  X               X-Coords           Z-Coords    

             -105.784E-39       -105.784E-39        125.096E-39  
               99.5163E-03        99.5163E-03        -1.61856E-03
              199.058E-03        199.058E-03         -2.28241E-03
              298.576E-03        298.576E-03         -2.88904E-03
              398.35E-03         398.35E-03          -3.40125E-03
              498.14E-03         498.14E-03          -3.76531E-03
              597.908E-03        597.908E-03         -4.03092E-03
              697.649E-03        697.649E-03         -4.25424E-03
              797.405E-03        797.405E-03         -4.44567E-03
              897.168E-03        897.168E-03         -4.59534E-03
              996.928E-03        996.928E-03         -4.71299E-03
                1.09668            1.09668           -4.8096E-03 
                1.19645            1.19645           -4.88946E-03
                1.29622            1.29622           -4.95088E-03
                1.396              1.396             -4.99671E-03
                1.4958             1.4958            -5.0276E-03 
                1.5956             1.5956            -5.04419E-03
                1.69543            1.69543           -5.0443E-03 
                1.79528            1.79528           -5.02745E-03
                1.89515            1.89515           -4.99128E-03
                1.99504            1.99504           -4.93429E-03
                2.09496            2.09496           -4.85325E-03
                2.19491            2.19491           -4.74597E-03
                2.29489            2.29489           -4.6089E-03 
                2.3949             2.3949            -4.43931E-03
                2.49494            2.49494           -4.23325E-03
                2.59502            2.59502           -3.98755E-03
                2.69514            2.69514           -3.698E-03  
                2.7953             2.7953            -3.36106E-03
                2.89549            2.89549           -2.97226E-03
                2.99573            2.99573           -2.52775E-03
                3.096              3.096             -2.02279E-03
                3.19632            3.19632           -1.45325E-03
                3.29669            3.29669         -814.141E-06  
                3.3971             3.3971          -101.074E-06  
                3.49756            3.49756          691.188E-06  
                3.59806            3.59806            1.56731E-03
                3.69862            3.69862            2.53275E-03
                3.79922            3.79922            3.59245E-03
                3.89987            3.89987            4.75211E-03
                4.00058            4.00058            6.0169E-03 
                4.10134            4.10134            7.39276E-03
                4.20215            4.20215            8.88513E-03
                4.30302            4.30302           10.5002E-03 
                4.40394            4.40394           12.2436E-03 
                4.50492            4.50492           14.1217E-03 
                4.60595            4.60595           16.1405E-03 
                4.70704            4.70704           18.3066E-03 
                4.80819            4.80819           20.6261E-03 
                4.9094             4.9094            23.1059E-03 
                5.01067            5.01067           25.7523E-03 
                5.11199            5.11199           28.5723E-03 
                5.21338            5.21338           31.5727E-03 
                5.31482            5.31482           34.7605E-03 
                5.41632            5.41632           38.1427E-03 
                5.51789            5.51789           41.7266E-03 
                5.61951            5.61951           45.5193E-03 
                5.7212             5.7212            49.5283E-03 
                5.82294            5.82294           53.761E-03  
                5.92475            5.92475           58.225E-03  
                6.02661            6.02661           62.9277E-03 
                6.12854            6.12854           67.8773E-03 
                6.23052            6.23052           73.081E-03  
                6.33257            6.33257           78.5473E-03 
                6.43467            6.43467           84.2836E-03 
                6.53682            6.53682           90.2983E-03 
                6.63904            6.63904           96.5993E-03 
                6.74131            6.74131          103.195E-03  
                6.84364            6.84364          110.093E-03  
                6.94602            6.94602          117.303E-03  
                7.04846            7.04846          124.832E-03  
                7.15094            7.15094          132.689E-03  
                7.25348            7.25348          140.882E-03  
                7.35607            7.35607          149.421E-03  
                7.4587             7.4587           158.313E-03  
                7.56138            7.56138          167.567E-03  
                7.6641             7.6641           177.191E-03  
                7.76687            7.76687          187.196E-03  
                7.86968            7.86968          197.588E-03  
                7.97252            7.97252          208.377E-03  
                8.0754             8.0754           219.573E-03  
                8.17832            8.17832          231.182E-03  
                8.28126            8.28126          243.215E-03  
                8.38424            8.38424          255.681E-03  
                8.48724            8.48724          268.587E-03  
                8.59026            8.59026          281.944E-03  
                8.6933             8.6933           295.759E-03  
                8.79636            8.79636          310.043E-03  
                8.89943            8.89943          324.802E-03  
                9.00251            9.00251          340.047E-03  
