
                  X               X-Coords           Z-Coords    

             -131.083E-39       -131.083E-39         95.3388E-39 
               99.4244E-03        99.4244E-03        -1.95114E-03
              198.886E-03        198.886E-03         -3.01159E-03
              298.462E-03        298.462E-03         -4.09048E-03
              398.418E-03        398.418E-03         -5.09484E-03
              498.478E-03        498.478E-03         -5.948E-03  
              598.586E-03        598.586E-03         -6.67037E-03
              698.733E-03        698.733E-03         -7.31294E-03
              798.958E-03        798.958E-03         -7.875E-03  
              899.245E-03        899.245E-03         -8.33943E-03
              999.583E-03        999.583E-03         -8.70811E-03
                1.09997            1.09997           -8.98795E-03
                1.2004             1.2004            -9.17738E-03
                1.30089            1.30089           -9.27039E-03
                1.40143            1.40143           -9.26481E-03
                1.50203            1.50203           -9.15752E-03
                1.60268            1.60268           -8.94455E-03
                1.70339            1.70339           -8.62002E-03
                1.80415            1.80415           -8.17918E-03
                1.90497            1.90497           -7.6162E-03 
                2.00585            2.00585           -6.92553E-03
                2.10678            2.10678           -6.10067E-03
                2.20778            2.20778           -5.13563E-03
                2.30884            2.30884           -4.02378E-03
                2.40995            2.40995           -2.75879E-03
                2.51113            2.51113           -1.33386E-03
                2.61237            2.61237          257.534E-06  
                2.71366            2.71366            2.02229E-03
                2.81502            2.81502            3.96706E-03
                2.91644            2.91644            6.09881E-03
                3.01792            3.01792            8.42429E-03
                3.11945            3.11945           10.9505E-03 
                3.22105            3.22105           13.6843E-03 
                3.32271            3.32271           16.6327E-03 
                3.42442            3.42442           19.8026E-03 
                3.52619            3.52619           23.2011E-03 
                3.62802            3.62802           26.8352E-03 
                3.7299             3.7299            30.7119E-03 
                3.83185            3.83185           34.8383E-03 
                3.93384            3.93384           39.2216E-03 
                4.03589            4.03589           43.8687E-03 
                4.138              4.138             48.7869E-03 
                4.24015            4.24015           53.9833E-03 
                4.34236            4.34236           59.4652E-03 
                4.44462            4.44462           65.2396E-03 
                4.54693            4.54693           71.3138E-03 
                4.64928            4.64928           77.6951E-03 
                4.75169            4.75169           84.3907E-03 
                4.85414            4.85414           91.4078E-03 
                4.95663            4.95663           98.7538E-03 
                5.05917            5.05917          106.436E-03  
                5.16174            5.16174          114.461E-03  
                5.26436            5.26436          122.838E-03  
                5.36701            5.36701          131.572E-03  
                5.4697             5.4697           140.672E-03  
                5.57242            5.57242          150.145E-03  
                5.67518            5.67518          159.997E-03  
                5.77797            5.77797          170.238E-03  
                5.88078            5.88078          180.873E-03  
                5.98362            5.98362          191.91E-03   
                6.08648            6.08648          203.357E-03  
                6.18937            6.18937          215.221E-03  
                6.29227            6.29227          227.509E-03  
                6.39519            6.39519          240.229E-03  
                6.49812            6.49812          253.387E-03  
                6.60106            6.60106          266.993E-03  
                6.70401            6.70401          281.051E-03  
                6.80696            6.80696          295.571E-03  
                6.90992            6.90992          310.56E-03   
                7.01288            7.01288          326.024E-03  
                7.11582            7.11582          341.97E-03   
                7.21877            7.21877          358.407E-03  
                7.3217             7.3217           375.341E-03  
                7.42461            7.42461          392.781E-03  
                7.52751            7.52751          410.731E-03  
                7.63038            7.63038          429.201E-03  
                7.73322            7.73322          448.197E-03  
                7.83604            7.83604          467.726E-03  
                7.93882            7.93882          487.796E-03  
                8.04156            8.04156          508.413E-03  
                8.14426            8.14426          529.584E-03  
                8.24691            8.24691          551.317E-03  
                8.3495             8.34951          573.617E-03  
                8.45204            8.45204          596.493E-03  
                8.55452            8.55452          619.951E-03  
                8.65693            8.65693          643.998E-03  
                8.75927            8.75927          668.641E-03  
                8.86154            8.86154          693.885E-03  
                8.96371            8.96371          719.738E-03  
                9.0658             9.0658           746.207E-03  
                9.1678             9.1678           773.298E-03  
                9.2697             9.2697           801.017E-03  
                9.37149            9.37149          829.37E-03   
                9.47318            9.47318          858.365E-03  
                9.57474            9.57474          888.007E-03  
                9.67618            9.67618          918.303E-03  
                9.7775             9.7775           949.257E-03  
                9.87868            9.87868          980.878E-03  
                9.97971            9.97971            1.01317    
               10.0806            10.0806             1.04614    
               10.1813            10.1813             1.07979    
               10.2819            10.2819             1.11413    
               10.3823            10.3823             1.14917    
               10.4825            10.4825             1.1849     
               10.5826            10.5826             1.22134    
               10.6824            10.6824             1.25849    
               10.7821            10.7821             1.29636    
               10.8815            10.8815             1.33494    
               10.9807            10.9807             1.37425    
               11.0797            11.0797             1.4143     
               11.1785            11.1785             1.45507    
               11.2771            11.2771             1.49659    
               11.3754            11.3754             1.53885    
               11.4734            11.4734             1.58186    
               11.5712            11.5712             1.62562    
               11.6687            11.6687             1.67014    
               11.7659            11.7659             1.71542    
               11.8629            11.8629             1.76147    
