
                  X               X-Coords           Z-Coords    

              -64.3971E-39       -64.3971E-39       114.967E-39  
               99.4809E-03        99.4809E-03        -1.74588E-03
              198.992E-03        198.992E-03         -2.43384E-03
              298.466E-03        298.466E-03         -3.04384E-03
              398.206E-03        398.206E-03         -3.5391E-03 
              497.954E-03        497.954E-03         -3.86392E-03
              597.666E-03        597.666E-03         -4.07547E-03
              697.339E-03        697.339E-03         -4.23577E-03
              797.015E-03        797.015E-03         -4.35703E-03
              896.685E-03        896.685E-03         -4.42997E-03
              996.339E-03        996.339E-03         -4.46598E-03
                1.09597            1.09597           -4.4786E-03 
                1.1956             1.1956            -4.47349E-03
                1.29521            1.29521           -4.4509E-03 
                1.39482            1.39482           -4.41523E-03
                1.49441            1.49441           -4.36969E-03
                1.594              1.594             -4.3167E-03 
                1.69359            1.69359           -4.25676E-03
                1.79316            1.79316           -4.19145E-03
                1.89274            1.89274           -4.12146E-03
                1.99231            1.99231           -4.04764E-03
                2.09188            2.09188           -3.97005E-03
                2.19145            2.19145           -3.88916E-03
                2.29102            2.29102           -3.805E-03  
                2.39058            2.39058           -3.71779E-03
                2.49015            2.49015           -3.62741E-03
                2.58971            2.58971           -3.53395E-03
                2.68928            2.68928           -3.4373E-03 
                2.78884            2.78884           -3.33745E-03
                2.88841            2.88841           -3.2343E-03 
                2.98797            2.98797           -3.12779E-03
                3.08754            3.08754           -3.01783E-03
                3.1871             3.1871            -2.90435E-03
                3.28667            3.28667           -2.78726E-03
                3.38624            3.38624           -2.66648E-03
                3.48581            3.48581           -2.54192E-03
                3.58538            3.58538           -2.41351E-03
                3.68495            3.68495           -2.28115E-03
                3.78452            3.78452           -2.14477E-03
                3.8841             3.8841            -2.00425E-03
                3.98367            3.98367           -1.85952E-03
                4.08325            4.08325           -1.71046E-03
                4.18282            4.18282           -1.55698E-03
                4.2824             4.2824            -1.39893E-03
                4.38198            4.38198           -1.23624E-03
                4.48157            4.48157           -1.06873E-03
                4.58115            4.58115         -896.298E-06  
                4.68074            4.68074         -718.756E-06  
                4.78033            4.78033         -535.98E-06   
                4.87992            4.87992         -347.762E-06  
                4.97951            4.97951         -153.954E-06  
                5.0791             5.0791            45.6792E-06 
                5.1787             5.1787           251.307E-06  
                5.2783             5.2783           463.197E-06  
                5.37791            5.37791          681.54E-06   
                5.47751            5.47751          906.637E-06  
                5.57713            5.57713            1.13871E-03
                5.67674            5.67674            1.37809E-03
                5.77636            5.77636            1.62502E-03
                5.87598            5.87598            1.87988E-03
                5.9756             5.9756             2.14296E-03
                6.07523            6.07523            2.41465E-03
                6.17486            6.17486            2.69527E-03
                6.2745             6.2745             2.98528E-03
                6.37414            6.37414            3.28502E-03
                6.47379            6.47379            3.595E-03  
                6.57344            6.57344            3.9156E-03 
                6.6731             6.6731             4.24735E-03
                6.77276            6.77276            4.59071E-03
                6.87243            6.87243            4.94624E-03
                6.97211            6.97211            5.31443E-03
                7.07179            7.07179            5.69592E-03
                7.17148            7.17148            6.09122E-03
                7.27117            7.27117            6.50104E-03
                7.37087            7.37087            6.92593E-03
                7.47058            7.47058            7.36666E-03
                7.5703             7.5703             7.82383E-03
                7.67002            7.67002            8.29826E-03
                7.76976            7.76976            8.79062E-03
                7.8695             7.8695             9.30178E-03
                7.96925            7.96925            9.83246E-03
                8.06901            8.06901           10.3836E-03 
                8.16877            8.16877           10.956E-03  
                8.26855            8.26855           11.5506E-03 
                8.36834            8.36834           12.1683E-03 
                8.46813            8.46813           12.8102E-03 
                8.56794            8.56794           13.4772E-03 
                8.66776            8.66776           14.1703E-03 
                8.76759            8.76759           14.8906E-03 
                8.86743            8.86743           15.6393E-03 
                8.96728            8.96728           16.4175E-03 
                9.06715            9.06715           17.2264E-03 
                9.16703            9.16703           18.0671E-03 
                9.26692            9.26692           18.941E-03  
                9.36682            9.36682           19.8493E-03 
                9.46674            9.46674           20.7935E-03 
                9.56667            9.56667           21.7748E-03 
                9.66661            9.66661           22.7947E-03 
                9.76657            9.76657           23.8545E-03 
                9.86655            9.86655           24.956E-03  
                9.96654            9.96654           26.1005E-03 
               10.0665            10.0665            27.2897E-03 
               10.1666            10.1666            28.5251E-03 
               10.2666            10.2666            29.8085E-03 
               10.3667            10.3667            31.1416E-03 
               10.4667            10.4667            32.5261E-03 
               10.5668            10.5668            33.9639E-03 
               10.6669            10.6669            35.4568E-03 
               10.7671            10.7671            37.0066E-03 
               10.8672            10.8672            38.6154E-03 
               10.9674            10.9674            40.2851E-03 
               11.0676            11.0676            42.0178E-03 
               11.1678            11.1678            43.8156E-03 
               11.268             11.268             45.6806E-03 
               11.3682            11.3682            47.615E-03  
               11.4685            11.4685            49.6211E-03 
               11.5688            11.5688            51.7011E-03 
               11.6691            11.6691            53.8574E-03 
               11.7694            11.7694            56.0923E-03 
               11.8698            11.8698            58.4085E-03 
               11.9702            11.9702            60.8082E-03 
               12.0706            12.0706            63.2942E-03 
               12.171             12.171             65.869E-03  
               12.2714            12.2714            68.5352E-03 
               12.3719            12.3719            71.2957E-03 
               12.4724            12.4724            74.1531E-03 
               12.5729            12.5729            77.1103E-03 
               12.6735            12.6735            80.1703E-03 
               12.7741            12.7741            83.3358E-03 
               12.8747            12.8747            86.61E-03   
               12.9753            12.9753            89.9958E-03 
               13.0759            13.0759            93.4965E-03 
               13.1766            13.1766            97.1151E-03 
               13.2773            13.2773           100.855E-03  
               13.3781            13.3781           104.719E-03  
               13.4788            13.4788           108.712E-03  
               13.5796            13.5796           112.835E-03  
               13.6804            13.6804           117.093E-03  
               13.7813            13.7813           121.49E-03   
               13.8822            13.8822           126.028E-03  
               13.9831            13.9831           130.711E-03  
               14.084             14.084            135.544E-03  
               14.185             14.185            140.53E-03   
               14.286             14.286            145.673E-03  
               14.387             14.387            150.976E-03  
               14.488             14.488            156.444E-03  
               14.5891            14.5891           162.08E-03   
               14.6902            14.6902           167.89E-03   
               14.7914            14.7914           173.876E-03  
               14.8925            14.8925           180.043E-03  
               14.9937            14.9937           186.395E-03  
               15.095             15.095            192.937E-03  
               15.1962            15.1962           199.673E-03  
               15.2975            15.2975           206.607E-03  
               15.3988            15.3988           213.744E-03  
               15.5002            15.5002           221.089E-03  
               15.6015            15.6015           228.645E-03  
               15.7029            15.7029           236.419E-03  
               15.8044            15.8044           244.414E-03  
