
                  X               X-Coords           Z-Coords    

                0.                11.7549E-39        -0.         
                2.5143E-03         2.5143E-03        40.7639E-06 
                5.02931E-03        5.02931E-03       52.197E-06  
                7.54946E-03        7.54946E-03       63.3736E-06 
               10.0641E-03        10.0641E-03        74.7579E-06 
               12.5789E-03        12.5789E-03        84.2779E-06 
               15.0954E-03        15.0954E-03        93.8353E-06 
               17.613E-03         17.613E-03        105.076E-06  
               20.1306E-03        20.1306E-03       118.208E-06  
               22.648E-03         22.648E-03        132.737E-06  
               25.1658E-03        25.1658E-03       148.853E-06  
               27.6837E-03        27.6837E-03       166.817E-06  
               30.2017E-03        30.2017E-03       186.65E-06   
               32.7196E-03        32.7196E-03       208.257E-06  
               35.2375E-03        35.2375E-03       231.662E-06  
               37.7554E-03        37.7554E-03       256.898E-06  
               40.2732E-03        40.2732E-03       283.961E-06  
               42.791E-03         42.791E-03        312.828E-06  
               45.3087E-03        45.3087E-03       343.497E-06  
               47.8264E-03        47.8264E-03       375.968E-06  
               50.344E-03         50.344E-03        410.234E-06  
               52.8615E-03        52.8615E-03       446.289E-06  
               55.379E-03         55.379E-03        484.125E-06  
               57.8963E-03        57.8963E-03       523.739E-06  
               60.4136E-03        60.4136E-03       565.126E-06  
               62.9308E-03        62.9308E-03       608.281E-06  
               65.448E-03         65.448E-03        653.197E-06  
               67.965E-03         67.965E-03        699.871E-06  
               70.482E-03         70.482E-03        748.297E-06  
               72.9989E-03        72.9989E-03       798.471E-06  
               75.5158E-03        75.5158E-03       850.386E-06  
               78.0325E-03        78.0325E-03       904.04E-06   
               80.5491E-03        80.5491E-03       959.427E-06  
               83.0657E-03        83.0657E-03         1.01654E-03
               85.5822E-03        85.5822E-03         1.07538E-03
               88.0986E-03        88.0986E-03         1.13594E-03
               90.6149E-03        90.6149E-03         1.19821E-03
               93.1311E-03        93.1311E-03         1.26218E-03
               95.6472E-03        95.6472E-03         1.32787E-03
               98.1633E-03        98.1633E-03         1.39525E-03
              100.679E-03        100.679E-03          1.46432E-03
              103.195E-03        103.195E-03          1.53509E-03
              105.711E-03        105.711E-03          1.60754E-03
              108.226E-03        108.226E-03          1.68167E-03
              110.742E-03        110.742E-03          1.75747E-03
              113.257E-03        113.257E-03          1.83495E-03
              115.773E-03        115.773E-03          1.91409E-03
              118.288E-03        118.288E-03          1.99489E-03
              120.803E-03        120.803E-03          2.07735E-03
              123.318E-03        123.318E-03          2.16145E-03
              125.833E-03        125.833E-03          2.24721E-03
              128.348E-03        128.348E-03          2.3346E-03 
              130.863E-03        130.863E-03          2.42363E-03
              133.377E-03        133.377E-03          2.51429E-03
              135.892E-03        135.892E-03          2.60658E-03
              138.406E-03        138.406E-03          2.70049E-03
              140.921E-03        140.921E-03          2.79602E-03
              143.435E-03        143.435E-03          2.89316E-03
              145.949E-03        145.949E-03          2.99191E-03
              148.463E-03        148.463E-03          3.09226E-03
              150.977E-03        150.977E-03          3.19421E-03
              153.491E-03        153.491E-03          3.29775E-03
              156.004E-03        156.004E-03          3.40288E-03
              158.518E-03        158.518E-03          3.50959E-03
              161.031E-03        161.031E-03          3.61788E-03
              163.545E-03        163.545E-03          3.72775E-03
              166.058E-03        166.058E-03          3.83918E-03
              168.571E-03        168.571E-03          3.95218E-03
              171.084E-03        171.084E-03          4.06674E-03
              173.597E-03        173.597E-03          4.18285E-03
              176.109E-03        176.109E-03          4.30051E-03
              178.622E-03        178.622E-03          4.41972E-03
              181.134E-03        181.134E-03          4.54047E-03
              183.647E-03        183.647E-03          4.66275E-03
              186.159E-03        186.159E-03          4.78656E-03
              188.671E-03        188.671E-03          4.9119E-03 
              191.183E-03        191.183E-03          5.03875E-03
              193.695E-03        193.695E-03          5.16713E-03
              196.207E-03        196.207E-03          5.29701E-03
              198.718E-03        198.718E-03          5.4284E-03 
              201.23E-03         201.23E-03           5.5613E-03 
              203.741E-03        203.741E-03          5.69569E-03
              206.252E-03        206.252E-03          5.83157E-03
              208.763E-03        208.763E-03          5.96894E-03
              211.274E-03        211.274E-03          6.10779E-03
              213.785E-03        213.785E-03          6.24812E-03
              216.296E-03        216.296E-03          6.38992E-03
              218.807E-03        218.807E-03          6.53318E-03
              221.317E-03        221.317E-03          6.67791E-03
