
                  X               X-Coords           Z-Coords    

                0.               -11.7549E-39        -0.         
                3.65433E-03        3.65433E-03      339.891E-06  
                7.31429E-03        7.31429E-03      452.466E-06  
               11.0015E-03        11.0015E-03       557.671E-06  
               14.6418E-03        14.6418E-03       652.091E-06  
               18.2835E-03        18.2835E-03       725.467E-06  
               21.936E-03         21.936E-03        791.519E-06  
               25.597E-03         25.597E-03        862.088E-06  
               29.2572E-03        29.2572E-03       939.007E-06  
               32.9176E-03        32.9176E-03         1.01979E-03
               36.5804E-03        36.5804E-03         1.10632E-03
               40.2452E-03        40.2452E-03         1.2006E-03 
               43.9104E-03        43.9104E-03         1.30314E-03
               47.5756E-03        47.5756E-03         1.41359E-03
               51.2412E-03        51.2412E-03         1.53237E-03
               54.9069E-03        54.9069E-03         1.65979E-03
               58.5723E-03        58.5723E-03         1.79596E-03
               62.2372E-03        62.2372E-03         1.94082E-03
               65.9017E-03        65.9017E-03         2.09442E-03
               69.5656E-03        69.5656E-03         2.25679E-03
               73.2288E-03        73.2288E-03         2.42792E-03
               76.8913E-03        76.8913E-03         2.60777E-03
               80.553E-03         80.553E-03          2.79632E-03
               84.2138E-03        84.2138E-03         2.99354E-03
               87.8738E-03        87.8738E-03         3.19939E-03
               91.5328E-03        91.5328E-03         3.41383E-03
               95.1909E-03        95.1909E-03         3.63683E-03
               98.848E-03         98.848E-03          3.86835E-03
              102.504E-03        102.504E-03          4.10834E-03
              106.159E-03        106.159E-03          4.35677E-03
              109.813E-03        109.813E-03          4.61361E-03
              113.466E-03        113.466E-03          4.8788E-03 
              117.118E-03        117.118E-03          5.15231E-03
              120.769E-03        120.769E-03          5.43411E-03
              124.418E-03        124.418E-03          5.72415E-03
              128.067E-03        128.067E-03          6.02239E-03
              131.714E-03        131.714E-03          6.3288E-03 
              135.36E-03         135.36E-03           6.64334E-03
              139.005E-03        139.005E-03          6.96597E-03
              142.649E-03        142.649E-03          7.29664E-03
              146.292E-03        146.292E-03          7.63533E-03
              149.933E-03        149.933E-03          7.982E-03  
              153.573E-03        153.573E-03          8.33659E-03
              157.212E-03        157.212E-03          8.69909E-03
              160.849E-03        160.849E-03          9.06945E-03
              164.486E-03        164.486E-03          9.44762E-03
              168.121E-03        168.121E-03          9.83358E-03
              171.754E-03        171.754E-03         10.2273E-03 
              175.386E-03        175.386E-03         10.6287E-03 
              179.017E-03        179.017E-03         11.0378E-03 
              182.647E-03        182.647E-03         11.4545E-03 
              186.275E-03        186.275E-03         11.8788E-03 
              189.902E-03        189.902E-03         12.3106E-03 
              193.528E-03        193.528E-03         12.75E-03   
              197.152E-03        197.152E-03         13.1968E-03 
              200.775E-03        200.775E-03         13.6511E-03 
              204.396E-03        204.396E-03         14.1128E-03 
              208.016E-03        208.016E-03         14.5818E-03 
              211.634E-03        211.634E-03         15.0582E-03 
              215.251E-03        215.251E-03         15.5419E-03 
              218.867E-03        218.867E-03         16.0328E-03 
              222.481E-03        222.481E-03         16.5309E-03 
              226.093E-03        226.093E-03         17.0362E-03 
              229.704E-03        229.704E-03         17.5486E-03 
              233.314E-03        233.314E-03         18.0682E-03 
              236.922E-03        236.922E-03         18.5948E-03 
              240.528E-03        240.528E-03         19.1284E-03 
              244.133E-03        244.133E-03         19.669E-03  
              247.737E-03        247.737E-03         20.2165E-03 
              251.339E-03        251.339E-03         20.771E-03  
              254.939E-03        254.939E-03         21.3323E-03 
              258.538E-03        258.538E-03         21.9005E-03 
              262.135E-03        262.135E-03         22.4754E-03 
              265.731E-03        265.731E-03         23.0571E-03 
              269.325E-03        269.325E-03         23.6456E-03 
              272.918E-03        272.918E-03         24.2407E-03 
              276.509E-03        276.509E-03         24.8425E-03 
              280.098E-03        280.098E-03         25.4509E-03 
              283.686E-03        283.686E-03         26.0658E-03 
              287.272E-03        287.272E-03         26.6873E-03 
              290.857E-03        290.857E-03         27.3153E-03 
              294.44E-03         294.44E-03          27.9498E-03 
              298.021E-03        298.021E-03         28.5906E-03 
              301.601E-03        301.601E-03         29.2379E-03 
              305.179E-03        305.179E-03         29.8915E-03 
              308.755E-03        308.755E-03         30.5514E-03 
              312.33E-03         312.33E-03          31.2176E-03 
              315.903E-03        315.903E-03         31.89E-03   
              319.475E-03        319.475E-03         32.5687E-03 
