
                  X               X-Coords           Z-Coords    

                0.                11.7549E-39         0.         
                2.4982E-03         2.4982E-03        -5.97948E-06
                4.9965E-03         4.9965E-03        -8.2898E-06 
                7.49464E-03        7.49464E-03      -10.3537E-06 
                9.9937E-03         9.9937E-03       -12.0439E-06 
               12.4928E-03        12.4928E-03       -13.1603E-06 
               14.9917E-03        14.9917E-03       -13.904E-06  
               17.4905E-03        17.4905E-03       -14.4927E-06 
               19.9894E-03        19.9894E-03       -14.9681E-06 
               22.4882E-03        22.4882E-03       -15.2944E-06 
               24.9869E-03        24.9869E-03       -15.51E-06   
               27.4856E-03        27.4856E-03       -15.6622E-06 
               29.9842E-03        29.9842E-03       -15.7697E-06 
               32.4829E-03        32.4829E-03       -15.8319E-06 
               34.9814E-03        34.9814E-03       -15.8636E-06 
               37.48E-03          37.48E-03         -15.8755E-06 
               39.9785E-03        39.9785E-03       -15.8757E-06 
               42.477E-03         42.477E-03        -15.8653E-06 
               44.9755E-03        44.9755E-03       -15.8495E-06 
               47.474E-03         47.474E-03        -15.8307E-06 
               49.9725E-03        49.9725E-03       -15.8115E-06 
               52.471E-03         52.471E-03        -15.792E-06  
               54.9694E-03        54.9694E-03       -15.7738E-06 
               57.4679E-03        57.4679E-03       -15.7569E-06 
               59.9663E-03        59.9663E-03       -15.742E-06  
               62.4648E-03        62.4648E-03       -15.7288E-06 
               64.9632E-03        64.9632E-03       -15.7176E-06 
               67.4616E-03        67.4616E-03       -15.708E-06  
               69.9601E-03        69.9601E-03       -15.7E-06    
               72.4585E-03        72.4585E-03       -15.6934E-06 
               74.957E-03         74.957E-03        -15.6881E-06 
               77.4554E-03        77.4554E-03       -15.6837E-06 
               79.9538E-03        79.9538E-03       -15.6803E-06 
               82.4523E-03        82.4523E-03       -15.6776E-06 
               84.9507E-03        84.9507E-03       -15.6756E-06 
               87.4492E-03        87.4492E-03       -15.674E-06  
               89.9476E-03        89.9476E-03       -15.6728E-06 
               92.446E-03         92.446E-03        -15.672E-06  
               94.9445E-03        94.9445E-03       -15.6714E-06 
               97.4429E-03        97.4429E-03       -15.6709E-06 
               99.9414E-03        99.9414E-03       -15.6707E-06 
              102.44E-03         102.44E-03         -15.6705E-06 
              104.938E-03        104.938E-03        -15.6704E-06 
              107.437E-03        107.437E-03        -15.6704E-06 
              109.935E-03        109.935E-03        -15.6704E-06 
              112.434E-03        112.434E-03        -15.6704E-06 
              114.932E-03        114.932E-03        -15.6705E-06 
              117.43E-03         117.43E-03         -15.6705E-06 
              119.929E-03        119.929E-03        -15.6706E-06 
              122.427E-03        122.427E-03        -15.6706E-06 
              124.926E-03        124.926E-03        -15.6707E-06 
              127.424E-03        127.424E-03        -15.6707E-06 
              129.923E-03        129.923E-03        -15.6708E-06 
              132.421E-03        132.421E-03        -15.6708E-06 
              134.92E-03         134.92E-03         -15.6708E-06 
              137.418E-03        137.418E-03        -15.6708E-06 
              139.916E-03        139.916E-03        -15.6709E-06 
              142.415E-03        142.415E-03        -15.6709E-06 
              144.913E-03        144.913E-03        -15.6709E-06 
              147.412E-03        147.412E-03        -15.6709E-06 
              149.91E-03         149.91E-03         -15.6709E-06 
              152.409E-03        152.409E-03        -15.6709E-06 
              154.907E-03        154.907E-03        -15.6709E-06 
              157.405E-03        157.405E-03        -15.6709E-06 
              159.904E-03        159.904E-03        -15.6709E-06 
              162.402E-03        162.402E-03        -15.6709E-06 
              164.901E-03        164.901E-03        -15.6709E-06 
              167.399E-03        167.399E-03        -15.6709E-06 
              169.898E-03        169.898E-03        -15.671E-06  
              172.396E-03        172.396E-03        -15.671E-06  
              174.895E-03        174.895E-03        -15.671E-06  
              177.393E-03        177.393E-03        -15.671E-06  
              179.891E-03        179.891E-03        -15.671E-06  
              182.39E-03         182.39E-03         -15.671E-06  
              184.888E-03        184.888E-03        -15.671E-06  
              187.387E-03        187.387E-03        -15.671E-06  
              189.885E-03        189.885E-03        -15.671E-06  
              192.384E-03        192.384E-03        -15.671E-06  
              194.882E-03        194.882E-03        -15.671E-06  
              197.38E-03         197.38E-03         -15.671E-06  
              199.879E-03        199.879E-03        -15.671E-06  
              202.377E-03        202.377E-03        -15.671E-06  
              204.876E-03        204.876E-03        -15.6709E-06 
