
                  X               X-Coords           Z-Coords    

                0.               -11.7549E-39        -0.         
                2.57193E-03        2.57193E-03      212.198E-06  
                5.14936E-03        5.14936E-03      277.452E-06  
                7.74987E-03        7.74987E-03      342.65E-06   
               10.3212E-03        10.3212E-03       407.427E-06  
               12.8928E-03        12.8928E-03       463.32E-06   
               15.4714E-03        15.4714E-03       519.612E-06  
               18.0546E-03        18.0546E-03       583.817E-06  
               20.6365E-03        20.6365E-03       656.639E-06  
               23.2171E-03        23.2171E-03       735.954E-06  
               25.7981E-03        25.7981E-03       822.682E-06  
               28.3792E-03        28.3792E-03       917.891E-06  
               30.9593E-03        30.9593E-03         1.02159E-03
               33.5383E-03        33.5383E-03         1.13334E-03
               36.1164E-03        36.1164E-03         1.25319E-03
               38.6933E-03        38.6933E-03         1.38121E-03
               41.2691E-03        41.2691E-03         1.51731E-03
               43.8436E-03        43.8436E-03         1.66133E-03
               46.4168E-03        46.4168E-03         1.81318E-03
               48.9887E-03        48.9887E-03         1.97279E-03
               51.5592E-03        51.5592E-03         2.14007E-03
               54.1284E-03        54.1284E-03         2.31489E-03
               56.6961E-03        56.6961E-03         2.49717E-03
               59.2625E-03        59.2625E-03         2.68682E-03
               61.8274E-03        61.8274E-03         2.88373E-03
               64.3909E-03        64.3909E-03         3.08782E-03
               66.953E-03         66.953E-03          3.29898E-03
               69.5136E-03        69.5136E-03         3.51713E-03
               72.0728E-03        72.0728E-03         3.74216E-03
               74.6305E-03        74.6305E-03         3.974E-03  
               77.1867E-03        77.1867E-03         4.21254E-03
               79.7415E-03        79.7415E-03         4.4577E-03 
               82.2948E-03        82.2948E-03         4.70937E-03
               84.8465E-03        84.8465E-03         4.96749E-03
               87.3968E-03        87.3968E-03         5.23195E-03
               89.9456E-03        89.9456E-03         5.50266E-03
               92.493E-03         92.493E-03          5.77954E-03
               95.0388E-03        95.0388E-03         6.06249E-03
               97.5831E-03        97.5831E-03         6.35144E-03
              100.126E-03        100.126E-03          6.64629E-03
              102.667E-03        102.667E-03          6.94696E-03
              105.207E-03        105.207E-03          7.25336E-03
              107.745E-03        107.745E-03          7.5654E-03 
              110.282E-03        110.282E-03          7.88301E-03
              112.818E-03        112.818E-03          8.2061E-03 
              115.351E-03        115.351E-03          8.53457E-03
              117.884E-03        117.884E-03          8.86836E-03
              120.415E-03        120.415E-03          9.20737E-03
              122.944E-03        122.944E-03          9.55153E-03
              125.472E-03        125.472E-03          9.90075E-03
              127.998E-03        127.998E-03         10.255E-03  
              130.523E-03        130.523E-03         10.6141E-03 
              133.047E-03        133.047E-03         10.978E-03  
              135.569E-03        135.569E-03         11.3467E-03 
              138.089E-03        138.089E-03         11.72E-03   
              140.609E-03        140.609E-03         12.0979E-03 
              143.126E-03        143.126E-03         12.4803E-03 
              145.643E-03        145.643E-03         12.8672E-03 
              148.157E-03        148.157E-03         13.2584E-03 
              150.671E-03        150.671E-03         13.6538E-03 
              153.183E-03        153.183E-03         14.0535E-03 
              155.693E-03        155.693E-03         14.4573E-03 
              158.203E-03        158.203E-03         14.8651E-03 
              160.711E-03        160.711E-03         15.2769E-03 
              163.217E-03        163.217E-03         15.6927E-03 
              165.722E-03        165.722E-03         16.1122E-03 
              168.226E-03        168.226E-03         16.5355E-03 
              170.728E-03        170.728E-03         16.9625E-03 
              173.23E-03         173.23E-03          17.393E-03  
              175.729E-03        175.729E-03         17.8271E-03 
              178.228E-03        178.228E-03         18.2647E-03 
              180.725E-03        180.725E-03         18.7057E-03 
              183.221E-03        183.221E-03         19.15E-03   
              185.715E-03        185.715E-03         19.5975E-03 
              188.209E-03        188.209E-03         20.0483E-03 
              190.701E-03        190.701E-03         20.5021E-03 
              193.192E-03        193.192E-03         20.959E-03  
              195.681E-03        195.681E-03         21.4189E-03 
              198.17E-03         198.17E-03          21.8817E-03 
              200.657E-03        200.657E-03         22.3473E-03 
              203.143E-03        203.143E-03         22.8158E-03 
              205.628E-03        205.628E-03         23.2869E-03 
              208.111E-03        208.111E-03         23.7607E-03 
              210.594E-03        210.594E-03         24.237E-03  
              213.075E-03        213.075E-03         24.7159E-03 
              215.556E-03        215.556E-03         25.1973E-03 
              218.035E-03        218.035E-03         25.681E-03  
              220.513E-03        220.513E-03         26.167E-03  
