
                  X               X-Coords           Z-Coords    

                0.                11.7549E-39        -0.         
                2.57855E-03        2.57855E-03      232.822E-06  
                5.16328E-03        5.16328E-03      305.333E-06  
                7.7727E-03         7.7727E-03       378.005E-06  
               10.3499E-03        10.3499E-03       450.056E-06  
               12.9272E-03        12.9272E-03       512.477E-06  
               15.5118E-03        15.5118E-03       575.345E-06  
               18.1013E-03        18.1013E-03       646.768E-06  
               20.6889E-03        20.6889E-03       727.464E-06  
               23.275E-03         23.275E-03        815.143E-06  
               25.8613E-03        25.8613E-03       910.79E-06   
               28.4473E-03        28.4473E-03         1.01553E-03
               31.0321E-03        31.0321E-03         1.12937E-03
               33.6153E-03        33.6153E-03         1.25179E-03
               36.1973E-03        36.1973E-03         1.38284E-03
               38.7779E-03        38.7779E-03         1.52258E-03
               41.3569E-03        41.3569E-03         1.67087E-03
               43.9343E-03        43.9343E-03         1.82752E-03
               46.51E-03          46.51E-03           1.99243E-03
               49.084E-03         49.084E-03          2.16548E-03
               51.6562E-03        51.6562E-03         2.34655E-03
               54.2268E-03        54.2268E-03         2.5355E-03 
               56.7956E-03        56.7956E-03         2.7322E-03 
               59.3626E-03        59.3626E-03         2.93654E-03
               61.9278E-03        61.9278E-03         3.14838E-03
               64.4913E-03        64.4913E-03         3.36759E-03
               67.0529E-03        67.0529E-03         3.59407E-03
               69.6128E-03        69.6128E-03         3.82768E-03
               72.1709E-03        72.1709E-03         4.06831E-03
               74.7271E-03        74.7271E-03         4.31584E-03
               77.2816E-03        77.2816E-03         4.57014E-03
               79.8343E-03        79.8343E-03         4.83111E-03
               82.3852E-03        82.3852E-03         5.09862E-03
               84.9343E-03        84.9343E-03         5.37256E-03
               87.4816E-03        87.4816E-03         5.65282E-03
               90.0271E-03        90.0271E-03         5.93928E-03
               92.5709E-03        92.5709E-03         6.23184E-03
               95.1129E-03        95.1129E-03         6.53038E-03
               97.6531E-03        97.6531E-03         6.83479E-03
              100.192E-03        100.192E-03          7.14498E-03
              102.728E-03        102.728E-03          7.46082E-03
              105.263E-03        105.263E-03          7.78222E-03
              107.797E-03        107.797E-03          8.10908E-03
              110.328E-03        110.328E-03          8.44128E-03
              112.858E-03        112.858E-03          8.77873E-03
              115.386E-03        115.386E-03          9.12133E-03
              117.913E-03        117.913E-03          9.46898E-03
              120.438E-03        120.438E-03          9.82159E-03
              122.961E-03        122.961E-03         10.179E-03  
              125.483E-03        125.483E-03         10.5413E-03 
              128.003E-03        128.003E-03         10.9082E-03 
              130.521E-03        130.521E-03         11.2796E-03 
              133.038E-03        133.038E-03         11.6556E-03 
              135.553E-03        135.553E-03         12.0359E-03 
              138.067E-03        138.067E-03         12.4206E-03 
              140.579E-03        140.579E-03         12.8095E-03 
              143.09E-03         143.09E-03          13.2025E-03 
              145.599E-03        145.599E-03         13.5996E-03 
              148.107E-03        148.107E-03         14.0006E-03 
              150.613E-03        150.613E-03         14.4055E-03 
              153.118E-03        153.118E-03         14.8143E-03 
              155.621E-03        155.621E-03         15.2267E-03 
              158.123E-03        158.123E-03         15.6429E-03 
              160.624E-03        160.624E-03         16.0626E-03 
              163.123E-03        163.123E-03         16.4858E-03 
              165.621E-03        165.621E-03         16.9124E-03 
              168.117E-03        168.117E-03         17.3424E-03 
              170.612E-03        170.612E-03         17.7756E-03 
              173.106E-03        173.106E-03         18.2121E-03 
              175.599E-03        175.599E-03         18.6518E-03 
              178.091E-03        178.091E-03         19.0945E-03 
              180.581E-03        180.581E-03         19.5402E-03 
              183.07E-03         183.07E-03          19.9889E-03 
              185.558E-03        185.558E-03         20.4405E-03 
              188.044E-03        188.044E-03         20.8949E-03 
              190.53E-03         190.53E-03          21.3521E-03 
              193.014E-03        193.014E-03         21.812E-03  
              195.498E-03        195.498E-03         22.2746E-03 
              197.98E-03         197.98E-03          22.7398E-03 
              200.461E-03        200.461E-03         23.2075E-03 
              202.941E-03        202.941E-03         23.6777E-03 
              205.42E-03         205.42E-03          24.1503E-03 
              207.898E-03        207.898E-03         24.6253E-03 
              210.375E-03        210.375E-03         25.1027E-03 
              212.851E-03        212.851E-03         25.5823E-03 
              215.327E-03        215.327E-03         26.0642E-03 
              217.801E-03        217.801E-03         26.5483E-03 
              220.274E-03        220.274E-03         27.0346E-03 
