
                  X               X-Coords           Z-Coords    

                0.                11.7549E-39        -0.         
                2.60557E-03        2.60557E-03      315.46E-06   
                5.2216E-03         5.2216E-03       408.828E-06  
                7.87414E-03        7.87414E-03      500.73E-06   
               10.4852E-03        10.4852E-03       590.352E-06  
               13.0987E-03        13.0987E-03       667.326E-06  
               15.724E-03         15.724E-03        746.083E-06  
               18.3569E-03        18.3569E-03       837.387E-06  
               20.9888E-03        20.9888E-03       942.372E-06  
               23.6199E-03        23.6199E-03         1.0584E-03 
               26.2524E-03        26.2524E-03         1.18703E-03
               28.8855E-03        28.8855E-03         1.32978E-03
               31.5179E-03        31.5179E-03         1.48678E-03
               34.1492E-03        34.1492E-03         1.65754E-03
               36.7797E-03        36.7797E-03         1.84225E-03
               39.4089E-03        39.4089E-03         2.04107E-03
               42.0368E-03        42.0368E-03         2.25395E-03
               44.6631E-03        44.6631E-03         2.48075E-03
               47.2878E-03        47.2878E-03         2.72145E-03
               49.9108E-03        49.9108E-03         2.97601E-03
               52.532E-03         52.532E-03          3.24436E-03
               55.1513E-03        55.1513E-03         3.52644E-03
               57.7686E-03        57.7686E-03         3.82217E-03
               60.3839E-03        60.3839E-03         4.13151E-03
               62.9971E-03        62.9971E-03         4.45439E-03
               65.6081E-03        65.6081E-03         4.79074E-03
               68.2169E-03        68.2169E-03         5.1405E-03 
               70.8233E-03        70.8233E-03         5.50361E-03
               73.4274E-03        73.4274E-03         5.88001E-03
               76.0291E-03        76.0291E-03         6.26962E-03
               78.6283E-03        78.6283E-03         6.67238E-03
               81.2249E-03        81.2249E-03         7.08824E-03
               83.8189E-03        83.8189E-03         7.51712E-03
               86.4103E-03        86.4103E-03         7.95897E-03
               88.9989E-03        88.9989E-03         8.41371E-03
               91.5848E-03        91.5848E-03         8.88129E-03
               94.1678E-03        94.1678E-03         9.36163E-03
               96.748E-03         96.748E-03          9.85468E-03
               99.3252E-03        99.3252E-03        10.3604E-03 
              101.899E-03        101.899E-03         10.8786E-03 
              104.471E-03        104.471E-03         11.4094E-03 
              107.039E-03        107.039E-03         11.9526E-03 
              109.604E-03        109.604E-03         12.5082E-03 
              112.165E-03        112.165E-03         13.0761E-03 
              114.724E-03        114.724E-03         13.6562E-03 
              117.279E-03        117.279E-03         14.2486E-03 
              119.831E-03        119.831E-03         14.853E-03  
              122.38E-03         122.38E-03          15.4696E-03 
              124.925E-03        124.925E-03         16.098E-03  
              127.467E-03        127.467E-03         16.7385E-03 
              130.005E-03        130.005E-03         17.3907E-03 
              132.54E-03         132.54E-03          18.0548E-03 
              135.071E-03        135.071E-03         18.7306E-03 
              137.598E-03        137.598E-03         19.4181E-03 
              140.122E-03        140.122E-03         20.1171E-03 
              142.642E-03        142.642E-03         20.8277E-03 
              145.158E-03        145.158E-03         21.5498E-03 
              147.671E-03        147.671E-03         22.2833E-03 
              150.179E-03        150.179E-03         23.0281E-03 
              152.684E-03        152.684E-03         23.7841E-03 
              155.185E-03        155.185E-03         24.5514E-03 
              157.682E-03        157.682E-03         25.3298E-03 
              160.175E-03        160.175E-03         26.1193E-03 
              162.664E-03        162.664E-03         26.9199E-03 
              165.149E-03        165.149E-03         27.7313E-03 
              167.63E-03         167.63E-03          28.5537E-03 
              170.107E-03        170.107E-03         29.3869E-03 
              172.58E-03         172.58E-03          30.2308E-03 
              175.048E-03        175.048E-03         31.0854E-03 
              177.513E-03        177.513E-03         31.9507E-03 
              179.973E-03        179.973E-03         32.8265E-03 
              182.429E-03        182.429E-03         33.7128E-03 
              184.88E-03         184.88E-03          34.6096E-03 
              187.328E-03        187.328E-03         35.5167E-03 
              189.771E-03        189.771E-03         36.4341E-03 
              192.209E-03        192.209E-03         37.3618E-03 
              194.644E-03        194.644E-03         38.2997E-03 
              197.074E-03        197.074E-03         39.2477E-03 
              199.499E-03        199.499E-03         40.2057E-03 
              201.92E-03         201.92E-03          41.1737E-03 
              204.336E-03        204.336E-03         42.1517E-03 
              206.748E-03        206.748E-03         43.1396E-03 
              209.156E-03        209.156E-03         44.1372E-03 
              211.559E-03        211.559E-03         45.1446E-03 
              213.957E-03        213.957E-03         46.1617E-03 
              216.351E-03        216.351E-03         47.1884E-03 
              218.74E-03         218.74E-03          48.2246E-03 
