
                  X               X-Coords           Z-Coords    

                0.                11.7549E-39        -0.         
                3.17803E-03        3.17803E-03        3.32597E-03
                6.81692E-03        6.81692E-03        4.98685E-03
               10.4981E-03        10.4981E-03         6.5156E-03 
               13.9426E-03        13.9426E-03         7.79844E-03
               17.418E-03         17.418E-03          9.07826E-03
               20.8973E-03        20.8973E-03        10.4209E-03 
               24.3405E-03        24.3405E-03        11.8606E-03 
               27.712E-03         27.712E-03         13.4013E-03 
               31.0131E-03        31.0131E-03        15.0481E-03 
               34.2372E-03        34.2372E-03        16.8042E-03 
               37.3738E-03        37.3738E-03        18.6653E-03 
               40.4175E-03        40.4175E-03        20.6259E-03 
               43.3644E-03        43.3644E-03        22.6783E-03 
               46.2139E-03        46.2139E-03        24.8168E-03 
               48.9637E-03        48.9637E-03        27.0331E-03 
               51.6149E-03        51.6149E-03        29.3207E-03 
               54.1673E-03        54.1673E-03        31.672E-03  
               56.6236E-03        56.6236E-03        34.0811E-03 
               58.9847E-03        58.9847E-03        36.5413E-03 
               61.2539E-03        61.2539E-03        39.0476E-03 
               63.433E-03         63.433E-03         41.5941E-03 
               65.5257E-03        65.5257E-03        44.1767E-03 
               67.534E-03         67.534E-03         46.7907E-03 
               69.4619E-03        69.4619E-03        49.4326E-03 
               71.3115E-03        71.3115E-03        52.0986E-03 
               73.0865E-03        73.0865E-03        54.786E-03  
               74.7893E-03        74.7893E-03        57.4915E-03 
               76.4233E-03        76.4233E-03        60.213E-03  
               77.9909E-03        77.9909E-03        62.948E-03  
               79.4951E-03        79.4951E-03        65.6948E-03 
               80.9383E-03        80.9383E-03        68.4513E-03 
               82.3232E-03        82.3232E-03        71.2162E-03 
               83.6521E-03        83.6521E-03        73.9877E-03 
               84.9277E-03        84.9277E-03        76.7649E-03 
               86.1517E-03        86.1517E-03        79.5464E-03 
               87.3267E-03        87.3267E-03        82.3313E-03 
               88.4545E-03        88.4545E-03        85.1187E-03 
               89.5373E-03        89.5373E-03        87.9078E-03 
               90.5768E-03        90.5768E-03        90.6977E-03 
               91.5749E-03        91.5749E-03        93.4882E-03 
               92.5333E-03        92.5333E-03        96.2782E-03 
               93.4538E-03        93.4538E-03        99.0677E-03 
               94.3378E-03        94.3378E-03       101.856E-03  
               95.187E-03         95.187E-03        104.643E-03  
               96.0026E-03        96.0026E-03       107.428E-03  
               96.7863E-03        96.7863E-03       110.21E-03   
               97.5391E-03        97.5391E-03       112.991E-03  
               98.2626E-03        98.2626E-03       115.768E-03  
               98.9577E-03        98.9577E-03       118.543E-03  
               99.6258E-03        99.6258E-03       121.315E-03  
              100.268E-03        100.268E-03        124.084E-03  
              100.885E-03        100.885E-03        126.85E-03   
              101.478E-03        101.478E-03        129.612E-03  
              102.049E-03        102.049E-03        132.372E-03  
              102.597E-03        102.597E-03        135.127E-03  
              103.125E-03        103.125E-03        137.88E-03   
              103.632E-03        103.632E-03        140.629E-03  
              104.119E-03        104.119E-03        143.375E-03  
              104.588E-03        104.588E-03        146.117E-03  
              105.039E-03        105.039E-03        148.856E-03  
              105.473E-03        105.473E-03        151.591E-03  
              105.891E-03        105.891E-03        154.323E-03  
              106.292E-03        106.292E-03        157.052E-03  
              106.679E-03        106.679E-03        159.777E-03  
              107.05E-03         107.05E-03         162.5E-03    
              107.408E-03        107.408E-03        165.219E-03  
              107.752E-03        107.752E-03        167.935E-03  
              108.084E-03        108.084E-03        170.648E-03  
              108.402E-03        108.402E-03        173.357E-03  
              108.709E-03        108.709E-03        176.064E-03  
              109.005E-03        109.005E-03        178.768E-03  
              109.289E-03        109.289E-03        181.47E-03   
              109.562E-03        109.562E-03        184.168E-03  
              109.826E-03        109.826E-03        186.864E-03  
              110.079E-03        110.079E-03        189.557E-03  
              110.324E-03        110.324E-03        192.247E-03  
              110.559E-03        110.559E-03        194.935E-03  
              110.785E-03        110.785E-03        197.621E-03  
              111.003E-03        111.003E-03        200.304E-03  
              111.213E-03        111.213E-03        202.985E-03  
              111.415E-03        111.415E-03        205.663E-03  
              111.61E-03         111.61E-03         208.34E-03   
              111.797E-03        111.797E-03        211.014E-03  
              111.978E-03        111.978E-03        213.686E-03  
              112.152E-03        112.152E-03        216.356E-03  
              112.319E-03        112.319E-03        219.025E-03  
