
                  X               X-Coords           Z-Coords    

                0.               -11.7549E-39        -0.         
                1.69664E-03        1.69664E-03      714.987E-06  
                3.44419E-03        3.44419E-03      976.904E-06  
                5.23566E-03        5.23566E-03        1.21673E-03
                6.94642E-03        6.94642E-03        1.41324E-03
                8.67009E-03        8.67009E-03        1.57998E-03
               10.4144E-03        10.4144E-03         1.74156E-03
               12.1715E-03        12.1715E-03         1.91423E-03
               13.9283E-03        13.9283E-03         2.10153E-03
               15.6871E-03        15.6871E-03         2.30323E-03
               17.4492E-03        17.4492E-03         2.52312E-03
               19.2127E-03        19.2127E-03         2.76376E-03
               20.9753E-03        20.9753E-03         3.02614E-03
               22.7363E-03        22.7363E-03         3.31048E-03
               24.4953E-03        24.4953E-03         3.6176E-03 
               26.2514E-03        26.2514E-03         3.94788E-03
               28.0039E-03        28.0039E-03         4.30157E-03
               29.7521E-03        29.7521E-03         4.67868E-03
               31.4955E-03        31.4955E-03         5.07933E-03
               33.2338E-03        33.2338E-03         5.50353E-03
               34.9663E-03        34.9663E-03         5.95124E-03
               36.6927E-03        36.6927E-03         6.42241E-03
               38.4127E-03        38.4127E-03         6.91695E-03
               40.1257E-03        40.1257E-03         7.43478E-03
               41.8315E-03        41.8315E-03         7.97577E-03
               43.5296E-03        43.5296E-03         8.53982E-03
               45.2198E-03        45.2198E-03         9.12678E-03
               46.9017E-03        46.9017E-03         9.73653E-03
               48.5751E-03        48.5751E-03        10.3689E-03 
               50.2395E-03        50.2395E-03        11.0238E-03 
               51.8947E-03        51.8947E-03        11.701E-03  
               53.5404E-03        53.5404E-03        12.4003E-03 
               55.1762E-03        55.1762E-03        13.1216E-03 
               56.802E-03         56.802E-03         13.8648E-03 
               58.4174E-03        58.4174E-03        14.6296E-03 
               60.0221E-03        60.0221E-03        15.4159E-03 
               61.6159E-03        61.6159E-03        16.2234E-03 
               63.1984E-03        63.1984E-03        17.052E-03  
               64.7695E-03        64.7695E-03        17.9015E-03 
               66.3288E-03        66.3288E-03        18.7718E-03 
               67.8762E-03        67.8762E-03        19.6625E-03 
               69.4113E-03        69.4113E-03        20.5735E-03 
               70.9339E-03        70.9339E-03        21.5046E-03 
               72.4438E-03        72.4438E-03        22.4556E-03 
               73.9407E-03        73.9407E-03        23.4263E-03 
               75.4244E-03        75.4244E-03        24.4165E-03 
               76.8947E-03        76.8947E-03        25.4259E-03 
               78.3513E-03        78.3513E-03        26.4543E-03 
               79.794E-03         79.794E-03         27.5016E-03 
               81.2226E-03        81.2226E-03        28.5675E-03 
               82.6369E-03        82.6369E-03        29.6518E-03 
               84.0366E-03        84.0366E-03        30.7542E-03 
               85.4216E-03        85.4216E-03        31.8746E-03 
               86.7916E-03        86.7916E-03        33.0126E-03 
               88.1464E-03        88.1464E-03        34.1682E-03 
               89.4859E-03        89.4859E-03        35.3409E-03 
               90.8099E-03        90.8099E-03        36.5307E-03 
               92.1181E-03        92.1181E-03        37.7373E-03 
               93.4104E-03        93.4104E-03        38.9603E-03 
               94.6866E-03        94.6866E-03        40.1997E-03 
               95.9464E-03        95.9464E-03        41.4551E-03 
               97.1899E-03        97.1899E-03        42.7264E-03 
               98.4167E-03        98.4167E-03        44.0132E-03 
               99.6267E-03        99.6267E-03        45.3153E-03 
              100.82E-03         100.82E-03          46.6325E-03 
              101.996E-03        101.996E-03         47.9645E-03 
              103.154E-03        103.154E-03         49.3111E-03 
              104.295E-03        104.295E-03         50.672E-03  
              105.419E-03        105.419E-03         52.047E-03  
              106.525E-03        106.525E-03         53.4358E-03 
              107.613E-03        107.613E-03         54.8381E-03 
              108.683E-03        108.683E-03         56.2538E-03 
              109.735E-03        109.735E-03         57.6826E-03 
              110.768E-03        110.768E-03         59.1241E-03 
              111.784E-03        111.784E-03         60.5782E-03 
              112.78E-03         112.78E-03          62.0445E-03 
              113.758E-03        113.758E-03         63.5229E-03 
              114.718E-03        114.718E-03         65.0131E-03 
              115.658E-03        115.658E-03         66.5147E-03 
              116.58E-03         116.58E-03          68.0277E-03 
              117.482E-03        117.482E-03         69.5515E-03 
              118.366E-03        118.366E-03         71.0861E-03 
              119.23E-03         119.23E-03          72.6312E-03 
              120.074E-03        120.074E-03         74.1865E-03 
              120.9E-03          120.9E-03           75.7517E-03 
