
                  X               X-Coords           Z-Coords    

                0.                11.7549E-39        -0.         
                1.6385E-03         1.6385E-03       469.729E-06  
                3.3018E-03         3.3018E-03       632.533E-06  
                4.99906E-03        4.99906E-03      782.586E-06  
                6.63884E-03        6.63884E-03      909.865E-06  
                8.2855E-03         8.2855E-03         1.01483E-03
                9.9468E-03         9.9468E-03         1.11504E-03
               11.6178E-03        11.6178E-03         1.22306E-03
               13.2887E-03        13.2887E-03         1.34121E-03
               14.9607E-03        14.9607E-03         1.46827E-03
               16.6355E-03        16.6355E-03         1.60686E-03
               18.312E-03         18.312E-03          1.75891E-03
               19.9885E-03        19.9885E-03         1.92506E-03
               21.6645E-03        21.6645E-03         2.10526E-03
               23.34E-03          23.34E-03           2.30008E-03
               25.0145E-03        25.0145E-03         2.50979E-03
               26.6875E-03        26.6875E-03         2.73453E-03
               28.3587E-03        28.3587E-03         2.97431E-03
               30.028E-03         30.028E-03          3.22921E-03
               31.6949E-03        31.6949E-03         3.49924E-03
               33.3594E-03        33.3594E-03         3.78439E-03
               35.0212E-03        35.0212E-03         4.08464E-03
               36.6801E-03        36.6801E-03         4.39995E-03
               38.336E-03         38.336E-03          4.7303E-03 
               39.9887E-03        39.9887E-03         5.07563E-03
               41.6381E-03        41.6381E-03         5.4359E-03 
               43.284E-03         43.284E-03          5.81105E-03
               44.9262E-03        44.9262E-03         6.20104E-03
               46.5647E-03        46.5647E-03         6.6058E-03 
               48.1992E-03        48.1992E-03         7.02529E-03
               49.8298E-03        49.8298E-03         7.45943E-03
               51.4561E-03        51.4561E-03         7.90818E-03
               53.0782E-03        53.0782E-03         8.37146E-03
               54.6958E-03        54.6958E-03         8.84922E-03
               56.3088E-03        56.3088E-03         9.34138E-03
               57.9172E-03        57.9172E-03         9.84789E-03
               59.5208E-03        59.5208E-03        10.3687E-03 
               61.1195E-03        61.1195E-03        10.9037E-03 
               62.7131E-03        62.7131E-03        11.4528E-03 
               64.3015E-03        64.3015E-03        12.016E-03  
               65.8847E-03        65.8847E-03        12.5932E-03 
               67.4625E-03        67.4625E-03        13.1843E-03 
               69.0348E-03        69.0348E-03        13.7893E-03 
               70.6015E-03        70.6015E-03        14.4081E-03 
               72.1624E-03        72.1624E-03        15.0405E-03 
               73.7176E-03        73.7176E-03        15.6866E-03 
               75.2667E-03        75.2667E-03        16.3462E-03 
               76.8098E-03        76.8098E-03        17.0194E-03 
               78.3467E-03        78.3467E-03        17.7059E-03 
               79.8774E-03        79.8774E-03        18.4057E-03 
               81.4017E-03        81.4017E-03        19.1188E-03 
               82.9195E-03        82.9195E-03        19.845E-03  
               84.4308E-03        84.4308E-03        20.5843E-03 
               85.9353E-03        85.9353E-03        21.3366E-03 
               87.4331E-03        87.4331E-03        22.1018E-03 
               88.9239E-03        88.9239E-03        22.8799E-03 
               90.4079E-03        90.4079E-03        23.6707E-03 
               91.8847E-03        91.8847E-03        24.4742E-03 
               93.3543E-03        93.3543E-03        25.2902E-03 
               94.8167E-03        94.8167E-03        26.1188E-03 
               96.2717E-03        96.2717E-03        26.9597E-03 
               97.7193E-03        97.7193E-03        27.813E-03  
               99.1593E-03        99.1593E-03        28.6786E-03 
              100.592E-03        100.592E-03         29.5563E-03 
              102.016E-03        102.016E-03         30.446E-03  
              103.433E-03        103.433E-03         31.3477E-03 
              104.842E-03        104.842E-03         32.2613E-03 
              106.243E-03        106.243E-03         33.1867E-03 
              107.636E-03        107.636E-03         34.1239E-03 
              109.02E-03         109.02E-03          35.0726E-03 
              110.397E-03        110.397E-03         36.0329E-03 
              111.765E-03        111.765E-03         37.0046E-03 
              113.125E-03        113.125E-03         37.9876E-03 
              114.476E-03        114.476E-03         38.9819E-03 
              115.819E-03        115.819E-03         39.9873E-03 
              117.153E-03        117.153E-03         41.0038E-03 
              118.478E-03        118.478E-03         42.0313E-03 
              119.794E-03        119.794E-03         43.0697E-03 
              121.102E-03        121.102E-03         44.1188E-03 
              122.401E-03        122.401E-03         45.1787E-03 
              123.69E-03         123.69E-03          46.2491E-03 
              124.971E-03        124.971E-03         47.33E-03   
              126.242E-03        126.242E-03         48.4213E-03 
              127.505E-03        127.505E-03         49.523E-03  
              128.758E-03        128.758E-03         50.6348E-03 
              130.001E-03        130.001E-03         51.7568E-03 
