
                  X               X-Coords           Z-Coords    

                0.                11.7549E-39        -0.         
                1.54418E-03        1.54418E-03      129.166E-06  
                3.09355E-03        3.09355E-03      166.248E-06  
                4.65769E-03        4.65769E-03      200.047E-06  
                6.20616E-03        6.20616E-03      231.683E-06  
                7.75688E-03        7.75688E-03      257.817E-06  
                9.313E-03          9.313E-03        284.298E-06  
               10.873E-03         10.873E-03        315.609E-06  
               12.4333E-03        12.4333E-03       352.559E-06  
               13.994E-03         13.994E-03        394.233E-06  
               15.5558E-03        15.5558E-03       441.38E-06   
               17.1182E-03        17.1182E-03       494.63E-06   
               18.6809E-03        18.6809E-03       554.113E-06  
               20.2433E-03        20.2433E-03       619.65E-06   
               21.8058E-03        21.8058E-03       691.344E-06  
               23.3681E-03        23.3681E-03       769.238E-06  
               24.93E-03          24.93E-03         853.32E-06   
               26.4916E-03        26.4916E-03       943.525E-06  
               28.0527E-03        28.0527E-03         1.03984E-03
               29.6134E-03        29.6134E-03         1.14223E-03
               31.1736E-03        31.1736E-03         1.25068E-03
               32.7333E-03        32.7333E-03         1.36515E-03
               34.2925E-03        34.2925E-03         1.48562E-03
               35.8511E-03        35.8511E-03         1.61207E-03
               37.4091E-03        37.4091E-03         1.74448E-03
               38.9665E-03        38.9665E-03         1.88283E-03
               40.5234E-03        40.5234E-03         2.02711E-03
               42.0796E-03        42.0796E-03         2.17732E-03
               43.6353E-03        43.6353E-03         2.33343E-03
               45.1903E-03        45.1903E-03         2.49545E-03
               46.7446E-03        46.7446E-03         2.66336E-03
               48.2982E-03        48.2982E-03         2.83716E-03
               49.8512E-03        49.8512E-03         3.01685E-03
               51.4035E-03        51.4035E-03         3.20241E-03
               52.955E-03         52.955E-03          3.39385E-03
               54.5058E-03        54.5058E-03         3.59116E-03
               56.0558E-03        56.0558E-03         3.79433E-03
               57.6051E-03        57.6051E-03         4.00337E-03
               59.1536E-03        59.1536E-03         4.21827E-03
               60.7012E-03        60.7012E-03         4.43901E-03
               62.248E-03         62.248E-03          4.66561E-03
               63.7939E-03        63.7939E-03         4.89806E-03
               65.339E-03         65.339E-03          5.13634E-03
               66.8831E-03        66.8831E-03         5.38046E-03
               68.4263E-03        68.4263E-03         5.6304E-03 
               69.9686E-03        69.9686E-03         5.88618E-03
               71.5099E-03        71.5099E-03         6.14777E-03
               73.0503E-03        73.0503E-03         6.41518E-03
               74.5896E-03        74.5896E-03         6.6884E-03 
               76.1279E-03        76.1279E-03         6.96742E-03
               77.6651E-03        77.6651E-03         7.25223E-03
               79.2013E-03        79.2013E-03         7.54284E-03
               80.7364E-03        80.7364E-03         7.83924E-03
               82.2703E-03        82.2703E-03         8.14141E-03
               83.8031E-03        83.8031E-03         8.44935E-03
               85.3348E-03        85.3348E-03         8.76306E-03
               86.8653E-03        86.8653E-03         9.08253E-03
               88.3946E-03        88.3946E-03         9.40775E-03
               89.9227E-03        89.9227E-03         9.73872E-03
               91.4496E-03        91.4496E-03        10.0754E-03 
               92.9751E-03        92.9751E-03        10.4179E-03 
               94.4995E-03        94.4995E-03        10.766E-03  
               96.0225E-03        96.0225E-03        11.1199E-03 
               97.5442E-03        97.5442E-03        11.4795E-03 
               99.0645E-03        99.0645E-03        11.8447E-03 
              100.584E-03        100.584E-03         12.2157E-03 
              102.101E-03        102.101E-03         12.5924E-03 
              103.617E-03        103.617E-03         12.9747E-03 
              105.132E-03        105.132E-03         13.3627E-03 
              106.645E-03        106.645E-03         13.7564E-03 
              108.157E-03        108.157E-03         14.1557E-03 
              109.668E-03        109.668E-03         14.5607E-03 
              111.177E-03        111.177E-03         14.9713E-03 
              112.684E-03        112.684E-03         15.3875E-03 
              114.19E-03         114.19E-03          15.8093E-03 
              115.694E-03        115.694E-03         16.2368E-03 
              117.197E-03        117.197E-03         16.6699E-03 
              118.698E-03        118.698E-03         17.1085E-03 
              120.198E-03        120.198E-03         17.5527E-03 
              121.695E-03        121.695E-03         18.0026E-03 
              123.192E-03        123.192E-03         18.4579E-03 
              124.686E-03        124.686E-03         18.9189E-03 
              126.179E-03        126.179E-03         19.3853E-03 
              127.67E-03         127.67E-03          19.8573E-03 
              129.159E-03        129.159E-03         20.3349E-03 
              130.647E-03        130.647E-03         20.8179E-03 
