
                  X               X-Coords           Z-Coords    

                0.                11.7549E-39        -0.         
                1.63405E-03        1.63405E-03      453.024E-06  
                3.29287E-03        3.29287E-03      609.542E-06  
                4.98523E-03        4.98523E-03      753.559E-06  
                6.62288E-03        6.62288E-03      876.477E-06  
                8.26747E-03        8.26747E-03      978.789E-06  
                9.92635E-03        9.92635E-03        1.07746E-03
               11.5946E-03        11.5946E-03         1.18455E-03
               13.2626E-03        13.2626E-03         1.30233E-03
               14.9318E-03        14.9318E-03         1.42965E-03
               16.6036E-03        16.6036E-03         1.56899E-03
               18.2768E-03        18.2768E-03         1.72219E-03
               19.9499E-03        19.9499E-03         1.88985E-03
               21.6225E-03        21.6225E-03         2.0719E-03 
               23.2943E-03        23.2943E-03         2.26885E-03
               24.965E-03         24.965E-03          2.48094E-03
               26.634E-03         26.634E-03          2.7083E-03 
               28.3012E-03        28.3012E-03         2.95091E-03
               29.9662E-03        29.9662E-03         3.20882E-03
               31.6288E-03        31.6288E-03         3.48204E-03
               33.2889E-03        33.2889E-03         3.77054E-03
               34.9462E-03        34.9462E-03         4.07429E-03
               36.6006E-03        36.6006E-03         4.39324E-03
               38.2518E-03        38.2518E-03         4.72736E-03
               39.8998E-03        39.8998E-03         5.07659E-03
               41.5444E-03        41.5444E-03         5.44089E-03
               43.1855E-03        43.1855E-03         5.82019E-03
               44.8228E-03        44.8228E-03         6.21443E-03
               46.4563E-03        46.4563E-03         6.62357E-03
               48.0859E-03        48.0859E-03         7.04754E-03
               49.7113E-03        49.7113E-03         7.48628E-03
               51.3326E-03        51.3326E-03         7.93972E-03
               52.9495E-03        52.9495E-03         8.40781E-03
               54.5619E-03        54.5619E-03         8.89048E-03
               56.1697E-03        56.1697E-03         9.38766E-03
               57.7728E-03        57.7728E-03         9.89929E-03
               59.3711E-03        59.3711E-03        10.4253E-03 
               60.9644E-03        60.9644E-03        10.9656E-03 
               62.5526E-03        62.5526E-03        11.5202E-03 
               64.1356E-03        64.1356E-03        12.0889E-03 
               65.7133E-03        65.7133E-03        12.6717E-03 
               67.2856E-03        67.2856E-03        13.2685E-03 
               68.8523E-03        68.8523E-03        13.8793E-03 
               70.4134E-03        70.4134E-03        14.504E-03  
               71.9686E-03        71.9686E-03        15.1424E-03 
               73.5181E-03        73.5181E-03        15.7946E-03 
               75.0615E-03        75.0615E-03        16.4604E-03 
               76.5988E-03        76.5988E-03        17.1398E-03 
               78.1299E-03        78.1299E-03        17.8327E-03 
               79.6547E-03        79.6547E-03        18.539E-03  
               81.1731E-03        81.1731E-03        19.2586E-03 
               82.6849E-03        82.6849E-03        19.9915E-03 
               84.1902E-03        84.1902E-03        20.7375E-03 
               85.6887E-03        85.6887E-03        21.4966E-03 
               87.1803E-03        87.1803E-03        22.2687E-03 
               88.6651E-03        88.6651E-03        23.0537E-03 
               90.1428E-03        90.1428E-03        23.8516E-03 
               91.6134E-03        91.6134E-03        24.6622E-03 
               93.0768E-03        93.0768E-03        25.4854E-03 
               94.5328E-03        94.5328E-03        26.3212E-03 
               95.9815E-03        95.9815E-03        27.1695E-03 
               97.4226E-03        97.4226E-03        28.0303E-03 
               98.8561E-03        98.8561E-03        28.9033E-03 
              100.282E-03        100.282E-03         29.7885E-03 
              101.7E-03          101.7E-03           30.6859E-03 
              103.11E-03         103.11E-03          31.5953E-03 
              104.513E-03        104.513E-03         32.5167E-03 
              105.907E-03        105.907E-03         33.45E-03   
              107.293E-03        107.293E-03         34.395E-03  
              108.671E-03        108.671E-03         35.3517E-03 
              110.04E-03         110.04E-03          36.3199E-03 
              111.402E-03        111.402E-03         37.2997E-03 
              112.754E-03        112.754E-03         38.2909E-03 
              114.099E-03        114.099E-03         39.2934E-03 
              115.434E-03        115.434E-03         40.3071E-03 
              116.761E-03        116.761E-03         41.3319E-03 
              118.079E-03        118.079E-03         42.3677E-03 
              119.389E-03        119.389E-03         43.4145E-03 
              120.689E-03        120.689E-03         44.4721E-03 
              121.981E-03        121.981E-03         45.5405E-03 
              123.263E-03        123.263E-03         46.6195E-03 
              124.536E-03        124.536E-03         47.709E-03  
              125.8E-03          125.8E-03           48.809E-03  
              127.055E-03        127.055E-03         49.9193E-03 
              128.3E-03          128.3E-03           51.0399E-03 
