
                  X               X-Coords           Z-Coords    

                0.               -11.7549E-39         0.         
                1.48546E-03        1.48546E-03      -53.2597E-06 
                2.97121E-03        2.97121E-03      -76.3234E-06 
                4.45673E-03        4.45673E-03      -97.8002E-06 
                5.95075E-03        5.95075E-03     -116.706E-06  
                7.44566E-03        7.44566E-03     -131.286E-06  
                8.9401E-03         8.9401E-03      -142.859E-06  
               10.434E-03         10.434E-03       -153.16E-06   
               11.9285E-03        11.9285E-03      -162.449E-06  
               13.4233E-03        13.4233E-03      -170.404E-06  
               14.9181E-03        14.9181E-03      -177.288E-06  
               16.4128E-03        16.4128E-03      -183.461E-06  
               17.9077E-03        17.9077E-03      -189.051E-06  
               19.4027E-03        19.4027E-03      -194.046E-06  
               20.8979E-03        20.8979E-03      -198.555E-06  
               22.3933E-03        22.3933E-03      -202.65E-06   
               23.8889E-03        23.8889E-03      -206.386E-06  
               25.3849E-03        25.3849E-03      -209.756E-06  
               26.8812E-03        26.8812E-03      -212.79E-06   
               28.378E-03         28.378E-03       -215.476E-06  
               29.8752E-03        29.8752E-03      -217.819E-06  
               31.373E-03         31.373E-03       -219.779E-06  
               32.8713E-03        32.8713E-03      -221.344E-06  
               34.3703E-03        34.3703E-03      -222.461E-06  
               35.87E-03          35.87E-03        -223.103E-06  
               37.3703E-03        37.3703E-03      -223.204E-06  
               38.8715E-03        38.8715E-03      -222.723E-06  
               40.3734E-03        40.3734E-03      -221.587E-06  
               41.8762E-03        41.8762E-03      -219.743E-06  
               43.3798E-03        43.3798E-03      -217.112E-06  
               44.8844E-03        44.8844E-03      -213.631E-06  
               46.3899E-03        46.3899E-03      -209.215E-06  
               47.8964E-03        47.8964E-03      -203.792E-06  
               49.4039E-03        49.4039E-03      -197.273E-06  
               50.9125E-03        50.9125E-03      -189.58E-06   
               52.4221E-03        52.4221E-03      -180.618E-06  
               53.9328E-03        53.9328E-03      -170.303E-06  
               55.4447E-03        55.4447E-03      -158.535E-06  
               56.9577E-03        56.9577E-03      -145.226E-06  
               58.4719E-03        58.4719E-03      -130.271E-06  
               59.9873E-03        59.9873E-03      -113.577E-06  
               61.5039E-03        61.5039E-03       -95.0343E-06 
               63.0218E-03        63.0218E-03       -74.5459E-06 
               64.5409E-03        64.5409E-03       -51.9982E-06 
               66.0613E-03        66.0613E-03       -27.2891E-06 
               67.583E-03         67.583E-03       -301.027E-09  
               69.1059E-03        69.1059E-03        29.0721E-06 
               70.6303E-03        70.6303E-03        60.9516E-06 
               72.156E-03         72.156E-03         95.4481E-06 
               73.683E-03         73.683E-03        132.686E-06  
               75.2114E-03        75.2114E-03       172.781E-06  
               76.7411E-03        76.7411E-03       215.862E-06  
               78.2722E-03        78.2722E-03       262.045E-06  
               79.8048E-03        79.8048E-03       311.465E-06  
               81.3387E-03        81.3387E-03       364.243E-06  
               82.874E-03         82.874E-03        420.514E-06  
               84.4107E-03        84.4107E-03       480.405E-06  
               85.9489E-03        85.9489E-03       544.055E-06  
               87.4884E-03        87.4884E-03       611.592E-06  
               89.0293E-03        89.0293E-03       683.159E-06  
               90.5716E-03        90.5716E-03       758.887E-06  
               92.1153E-03        92.1153E-03       838.924E-06  
               93.6604E-03        93.6604E-03       923.402E-06  
               95.2069E-03        95.2069E-03         1.01247E-03
               96.7547E-03        96.7547E-03         1.10627E-03
               98.3038E-03        98.3038E-03         1.20495E-03
               99.8543E-03        99.8543E-03         1.30865E-03
              101.406E-03        101.406E-03          1.41752E-03
              102.959E-03        102.959E-03          1.53171E-03
              104.514E-03        104.514E-03          1.65137E-03
              106.069E-03        106.069E-03          1.77664E-03
              107.626E-03        107.626E-03          1.90769E-03
              109.184E-03        109.184E-03          2.04467E-03
              110.744E-03        110.744E-03          2.18772E-03
              112.304E-03        112.304E-03          2.337E-03  
              113.865E-03        113.865E-03          2.49268E-03
              115.428E-03        115.428E-03          2.65489E-03
              116.992E-03        116.992E-03          2.8238E-03 
              118.556E-03        118.556E-03          2.99957E-03
              120.122E-03        120.122E-03          3.18235E-03
              121.688E-03        121.688E-03          3.3723E-03 
              123.255E-03        123.255E-03          3.56958E-03
              124.823E-03        124.823E-03          3.77434E-03
              126.392E-03        126.392E-03          3.98675E-03
              127.962E-03        127.962E-03          4.20695E-03
