
                  X               X-Coords           Z-Coords    

                0.               -11.7549E-39         0.         
                1.48226E-03        1.48226E-03      -63.124E-06  
                2.96479E-03        2.96479E-03      -96.5807E-06 
                4.45002E-03        4.45002E-03     -130.711E-06  
                5.94706E-03        5.94705E-03     -163.404E-06  
                7.44726E-03        7.44726E-03     -192.1E-06    
                8.9487E-03         8.9487E-03      -217.395E-06  
               10.4512E-03        10.4512E-03      -240.964E-06  
               11.9559E-03        11.9559E-03      -262.771E-06  
               13.4623E-03        13.4623E-03      -282.284E-06  
               14.97E-03          14.97E-03        -299.567E-06  
               16.4788E-03        16.4788E-03      -314.906E-06  
               17.9889E-03        17.9889E-03      -328.292E-06  
               19.5002E-03        19.5002E-03      -339.627E-06  
               21.0126E-03        21.0126E-03      -348.917E-06  
               22.5262E-03        22.5262E-03      -356.172E-06  
               24.0409E-03        24.0409E-03      -361.36E-06   
               25.5567E-03        25.5567E-03      -364.412E-06  
               27.0738E-03        27.0738E-03      -365.283E-06  
               28.592E-03         28.592E-03       -363.906E-06  
               30.1114E-03        30.1114E-03      -360.217E-06  
               31.6321E-03        31.6321E-03      -354.125E-06  
               33.154E-03         33.154E-03       -345.552E-06  
               34.6771E-03        34.6771E-03      -334.4E-06    
               36.2015E-03        36.2015E-03      -320.579E-06  
               37.7272E-03        37.7272E-03      -303.982E-06  
               39.2542E-03        39.2542E-03      -284.51E-06   
               40.7825E-03        40.7825E-03      -262.051E-06  
               42.312E-03         42.312E-03       -236.5E-06    
               43.8429E-03        43.8429E-03      -207.74E-06   
               45.3751E-03        45.3751E-03      -175.661E-06  
               46.9086E-03        46.9086E-03      -140.144E-06  
               48.4434E-03        48.4434E-03      -101.075E-06  
               49.9795E-03        49.9795E-03       -58.333E-06  
               51.5168E-03        51.5168E-03       -11.801E-06  
               53.0555E-03        53.0555E-03        38.6437E-06 
               54.5955E-03        54.5955E-03        93.1196E-06 
               56.1368E-03        56.1368E-03       151.751E-06  
               57.6793E-03        57.6793E-03       214.657E-06  
               59.223E-03         59.223E-03        281.965E-06  
               60.768E-03         60.768E-03        353.793E-06  
               62.3143E-03        62.3143E-03       430.269E-06  
               63.8617E-03        63.8617E-03       511.515E-06  
               65.4103E-03        65.4103E-03       597.658E-06  
               66.9601E-03        66.9601E-03       688.82E-06   
               68.5111E-03        68.5111E-03       785.13E-06   
               70.0631E-03        70.0631E-03       886.71E-06   
               71.6163E-03        71.6163E-03       993.688E-06  
               73.1705E-03        73.1705E-03         1.10619E-03
               74.7258E-03        74.7258E-03         1.22434E-03
               76.2821E-03        76.2821E-03         1.34827E-03
               77.8394E-03        77.8394E-03         1.47811E-03
               79.3977E-03        79.3977E-03         1.61397E-03
               80.9569E-03        80.9569E-03         1.75599E-03
               82.517E-03         82.517E-03          1.9043E-03 
               84.078E-03         84.078E-03          2.05903E-03
               85.6398E-03        85.6398E-03         2.22029E-03
               87.2023E-03        87.2023E-03         2.38823E-03
               88.7656E-03        88.7656E-03         2.56296E-03
               90.3297E-03        90.3297E-03         2.74462E-03
               91.8943E-03        91.8943E-03         2.93333E-03
               93.4596E-03        93.4596E-03         3.12922E-03
               95.0255E-03        95.0255E-03         3.33242E-03
               96.5918E-03        96.5918E-03         3.54306E-03
               98.1587E-03        98.1587E-03         3.76127E-03
               99.7259E-03        99.7259E-03         3.98716E-03
              101.294E-03        101.294E-03          4.22087E-03
              102.861E-03        102.861E-03          4.46254E-03
              104.43E-03         104.43E-03           4.71227E-03
              105.998E-03        105.998E-03          4.97021E-03
              107.566E-03        107.566E-03          5.23647E-03
              109.135E-03        109.135E-03          5.51118E-03
              110.703E-03        110.703E-03          5.79447E-03
              112.272E-03        112.272E-03          6.08647E-03
              113.84E-03         113.84E-03           6.38728E-03
              115.408E-03        115.408E-03          6.69706E-03
              116.976E-03        116.976E-03          7.0159E-03 
              118.543E-03        118.543E-03          7.34395E-03
              120.11E-03         120.11E-03           7.68131E-03
              121.676E-03        121.676E-03          8.02812E-03
              123.242E-03        123.242E-03          8.38448E-03
              124.807E-03        124.807E-03          8.75053E-03
              126.371E-03        126.371E-03          9.12638E-03
              127.935E-03        127.935E-03          9.51215E-03
              129.497E-03        129.497E-03          9.90795E-03
              131.059E-03        131.059E-03         10.3139E-03 
