
                  X               X-Coords           Z-Coords    

                0.                11.7549E-39        -0.         
                1.34684E-03        1.34684E-03      -90.8156E-06 
                2.6945E-03         2.6945E-03      -125.219E-06  
                4.03951E-03        4.03951E-03     -154.173E-06  
                5.39733E-03        5.39733E-03     -176.975E-06  
                6.7547E-03         6.7547E-03      -191.144E-06  
                8.10978E-03        8.10978E-03     -199.837E-06  
                9.46257E-03        9.46257E-03     -206.24E-06   
               10.8153E-03        10.8153E-03      -211.099E-06  
               12.1674E-03        12.1674E-03      -214.007E-06  
               13.5186E-03        13.5186E-03      -215.6E-06    
               14.8689E-03        14.8689E-03      -216.503E-06  
               16.2186E-03        16.2186E-03      -216.995E-06  
               17.568E-03         17.568E-03       -217.061E-06  
               18.9169E-03        18.9169E-03      -216.895E-06  
               20.2655E-03        20.2655E-03      -216.611E-06  
               21.6138E-03        21.6138E-03      -216.292E-06  
               22.962E-03         22.962E-03       -215.936E-06  
               24.31E-03          24.31E-03        -215.589E-06  
               25.6579E-03        25.6579E-03      -215.26E-06   
               27.0058E-03        27.0058E-03      -214.967E-06  
               28.3536E-03        28.3536E-03      -214.701E-06  
               29.7013E-03        29.7013E-03      -214.466E-06  
               31.049E-03         31.049E-03       -214.258E-06  
               32.3967E-03        32.3967E-03      -214.075E-06  
               33.7444E-03        33.7444E-03      -213.911E-06  
               35.0921E-03        35.0921E-03      -213.763E-06  
               36.4398E-03        36.4398E-03      -213.627E-06  
               37.7875E-03        37.7875E-03      -213.501E-06  
               39.1352E-03        39.1352E-03      -213.382E-06  
               40.4829E-03        40.4829E-03      -213.266E-06  
               41.8306E-03        41.8306E-03      -213.153E-06  
               43.1783E-03        43.1783E-03      -213.04E-06   
               44.526E-03         44.526E-03       -212.927E-06  
               45.8737E-03        45.8737E-03      -212.813E-06  
               47.2214E-03        47.2214E-03      -212.696E-06  
               48.5691E-03        48.5691E-03      -212.577E-06  
               49.9168E-03        49.9168E-03      -212.455E-06  
               51.2645E-03        51.2645E-03      -212.329E-06  
               52.6122E-03        52.6122E-03      -212.199E-06  
               53.9599E-03        53.9599E-03      -212.066E-06  
               55.3076E-03        55.3076E-03      -211.929E-06  
               56.6553E-03        56.6553E-03      -211.788E-06  
               58.003E-03         58.003E-03       -211.642E-06  
               59.3507E-03        59.3507E-03      -211.493E-06  
               60.6985E-03        60.6985E-03      -211.339E-06  
               62.0462E-03        62.0462E-03      -211.181E-06  
               63.3939E-03        63.3939E-03      -211.019E-06  
               64.7416E-03        64.7416E-03      -210.853E-06  
               66.0893E-03        66.0893E-03      -210.682E-06  
               67.437E-03         67.437E-03       -210.508E-06  
               68.7847E-03        68.7847E-03      -210.328E-06  
               70.1325E-03        70.1325E-03      -210.144E-06  
               71.4802E-03        71.4802E-03      -209.956E-06  
               72.8279E-03        72.8279E-03      -209.764E-06  
               74.1756E-03        74.1756E-03      -209.567E-06  
               75.5233E-03        75.5233E-03      -209.365E-06  
               76.871E-03         76.871E-03       -209.159E-06  
               78.2187E-03        78.2187E-03      -208.948E-06  
               79.5665E-03        79.5665E-03      -208.732E-06  
               80.9142E-03        80.9142E-03      -208.512E-06  
               82.2619E-03        82.2619E-03      -208.287E-06  
               83.6096E-03        83.6096E-03      -208.058E-06  
               84.9573E-03        84.9573E-03      -207.824E-06  
               86.305E-03         86.305E-03       -207.585E-06  
               87.6527E-03        87.6527E-03      -207.341E-06  
               89.0005E-03        89.0005E-03      -207.093E-06  
               90.3482E-03        90.3482E-03      -206.839E-06  
               91.6959E-03        91.6959E-03      -206.581E-06  
               93.0436E-03        93.0436E-03      -206.319E-06  
               94.3913E-03        94.3913E-03      -206.051E-06  
               95.739E-03         95.739E-03       -205.779E-06  
               97.0867E-03        97.0867E-03      -205.502E-06  
               98.4344E-03        98.4344E-03      -205.221E-06  
               99.7822E-03        99.7822E-03      -204.934E-06  
              101.13E-03         101.13E-03        -204.643E-06  
              102.478E-03        102.478E-03       -204.348E-06  
              103.825E-03        103.825E-03       -204.048E-06  
              105.173E-03        105.173E-03       -203.744E-06  
              106.521E-03        106.521E-03       -203.435E-06  
              107.868E-03        107.868E-03       -203.122E-06  
              109.216E-03        109.216E-03       -202.805E-06  
              110.564E-03        110.564E-03       -202.484E-06  
