
                  X               X-Coords           Z-Coords    

                0.               -11.7549E-39         0.         
                1.48429E-03        1.48429E-03      -57.8063E-06 
                2.96905E-03        2.96905E-03      -82.1552E-06 
                4.45343E-03        4.45343E-03     -104.174E-06  
                5.9468E-03         5.9468E-03      -122.833E-06  
                7.4408E-03         7.4408E-03      -136.343E-06  
                8.93401E-03        8.93401E-03     -146.238E-06  
               10.4263E-03        10.4263E-03      -154.434E-06  
               11.9189E-03        11.9189E-03      -161.253E-06  
               13.4116E-03        13.4116E-03      -166.385E-06  
               14.9038E-03        14.9038E-03      -170.143E-06  
               16.3956E-03        16.3956E-03      -172.953E-06  
               17.8872E-03        17.8872E-03      -174.974E-06  
               19.3784E-03        19.3784E-03      -176.235E-06  
               20.8694E-03        20.8694E-03      -176.877E-06  
               22.36E-03          22.36E-03        -177.022E-06  
               23.8504E-03        23.8504E-03      -176.761E-06  
               25.3405E-03        25.3405E-03      -176.135E-06  
               26.8305E-03        26.8305E-03      -175.214E-06  
               28.3202E-03        28.3202E-03      -174.042E-06  
               29.8098E-03        29.8098E-03      -172.666E-06  
               31.2992E-03        31.2992E-03      -171.107E-06  
               32.7885E-03        32.7885E-03      -169.4E-06    
               34.2776E-03        34.2776E-03      -167.56E-06   
               35.7667E-03        35.7667E-03      -165.61E-06   
               37.2557E-03        37.2557E-03      -163.556E-06  
               38.7447E-03        38.7447E-03      -161.415E-06  
               40.2335E-03        40.2335E-03      -159.19E-06   
               41.7224E-03        41.7224E-03      -156.891E-06  
               43.2112E-03        43.2112E-03      -154.518E-06  
               44.7E-03           44.7E-03         -152.077E-06  
               46.1887E-03        46.1887E-03      -149.568E-06  
               47.6775E-03        47.6775E-03      -146.993E-06  
               49.1662E-03        49.1662E-03      -144.352E-06  
               50.655E-03         50.655E-03       -141.645E-06  
               52.1438E-03        52.1438E-03      -138.87E-06   
               53.6326E-03        53.6326E-03      -136.027E-06  
               55.1214E-03        55.1214E-03      -133.114E-06  
               56.6102E-03        56.6102E-03      -130.131E-06  
               58.099E-03         58.099E-03       -127.074E-06  
               59.5879E-03        59.5879E-03      -123.943E-06  
               61.0768E-03        61.0768E-03      -120.735E-06  
               62.5658E-03        62.5658E-03      -117.448E-06  
               64.0548E-03        64.0548E-03      -114.08E-06   
               65.5438E-03        65.5438E-03      -110.629E-06  
               67.0329E-03        67.0329E-03      -107.091E-06  
               68.522E-03         68.522E-03       -103.465E-06  
               70.0112E-03        70.0112E-03       -99.7473E-06 
               71.5004E-03        71.5004E-03       -95.9357E-06 
               72.9897E-03        72.9897E-03       -92.0263E-06 
               74.479E-03         74.479E-03        -88.0168E-06 
               75.9684E-03        75.9684E-03       -83.9027E-06 
               77.4579E-03        77.4579E-03       -79.6814E-06 
               78.9475E-03        78.9475E-03       -75.348E-06  
               80.4371E-03        80.4371E-03       -70.8994E-06 
               81.9268E-03        81.9268E-03       -66.3302E-06 
               83.4166E-03        83.4166E-03       -61.6368E-06 
               84.9065E-03        84.9065E-03       -56.8133E-06 
               86.3964E-03        86.3964E-03       -51.8556E-06 
               87.8865E-03        87.8865E-03       -46.7569E-06 
               89.3766E-03        89.3766E-03       -41.5128E-06 
               90.8669E-03        90.8669E-03       -36.1157E-06 
               92.3573E-03        92.3573E-03       -30.5605E-06 
               93.8478E-03        93.8478E-03       -24.839E-06  
               95.3384E-03        95.3384E-03       -18.9452E-06 
               96.8291E-03        96.8291E-03       -12.8702E-06 
               98.32E-03          98.32E-03          -6.60736E-06
               99.811E-03         99.811E-03       -146.713E-09  
              101.302E-03        101.302E-03          6.51899E-06
              102.793E-03        102.793E-03         13.4007E-06 
              104.285E-03        104.285E-03         20.5066E-06 
              105.776E-03        105.776E-03         27.8484E-06 
              107.268E-03        107.268E-03         35.4353E-06 
              108.76E-03         108.76E-03          43.2801E-06 
              110.252E-03        110.252E-03         51.3927E-06 
              111.745E-03        111.745E-03         59.7872E-06 
              113.237E-03        113.237E-03         68.4743E-06 
              114.73E-03         114.73E-03          77.4694E-06 
              116.223E-03        116.223E-03         86.7841E-06 
              117.716E-03        117.716E-03         96.435E-06  
              119.209E-03        119.209E-03        106.435E-06  
              120.703E-03        120.703E-03        116.801E-06  
              122.197E-03        122.197E-03        127.548E-06  
